accordion,accordion.jpg,accordion.mp3,acordeón
adjustable wrench,adjustable wrench.jpg,adjustable wrench.mp3,llave ajustable
airplane,airplane.jpg,airplane.mp3,avión
alfalfa sprouts,alfalfa sprouts.jpg,alfalfa sprouts.mp3,brotes de alfalfa
almonds,almonds.jpg,almonds.mp3,Almendras
ambulance,ambulance.jpg,ambulance.mp3,ambulancia
antelope,antelope.jpg,antelope.mp3,antílope
apple juice,apple juice.jpg,apple juice.mp3,jugo de manzana
apples,apples.jpg,apples.mp3,manzana
armchair,armchair.jpg,armchair.mp3,sillón
artichoke,artichoke.jpg,artichoke.mp3,alcachofa
asparagus,asparagus.jpg,asparagus.mp3,espárragos
avocados,avocados.jpg,avocados.mp3,aguacates
ax,ax.jpg,ax.mp3,hacha
baboon,baboon.jpg,baboon.mp3,babuino
bag,bag.jpg,bag.mp3,bolsa
bagel,bagel.jpg,bagel.mp3,rosquilla
baking pan,baking pan.jpg,baking pan.mp3,sartén
balloon,balloon.jpg,balloon.mp3,globo
bananas,bananas.jpg,bananas.mp3,plátanos
baseball,baseball.jpg,baseball.mp3,béisbol
baseball glove,baseball glove.jpg,baseball glove.mp3,guante de béisbol
baseball player,baseball player.jpg,baseball player.mp3,jugador de baseball
basket,basket.jpg,basket.mp3,cesta
basketball,basketball.jpg,basketball.mp3,baloncesto
basketball player,basketball player.jpg,basketball player.mp3,jugador de baloncesto
bathtub,bathtub.jpg,bathtub.mp3,bañera
beans,beans.jpg,beans.mp3,frijoles
bear(female),bear(female).jpg,bear(female).mp3,osa
bear(male),bear(male).jpg,bear(male).mp3,oso
beaver,beaver.jpg,beaver.mp3,castor
bed,bed.jpg,bed.mp3,cama
bee,bee.jpg,bee.mp3,abeja
beer,beer.jpg,beer.mp3,cerveza
beetle,beetle.jpg,beetle.mp3,escarabajo
belt,belt.jpg,belt.mp3,cinturón
bicycle,bicycle.jpg,bicycle.mp3,bicicleta
bicycle,bicycle.jpg,bicycle.mp3,bicicleta
blackberries,blackberries.jpg,blackberries.mp3,moras
blender,blender.jpg,blender.mp3,licuadora
blimp,blimp.jpg,blimp.mp3,dirigible
blouse,blouse.jpg,blouse.mp3,blusa
boat,boat.jpg,boat.mp3,bote
bobcat,bobcat.jpg,bobcat.mp3,gato montés
bongos,bongos.jpg,bongos.mp3,bongos
bottle,bottle.jpg,bottle.mp3,botella
bow saw,bow saw.jpg,bow saw.mp3,Sierra de arco
bowl,bowl.jpg,bowl.mp3,bol
bowl,bowl.jpg,bowl.mp3,bol
bowler,bowler.jpg,bowler.mp3,jugador de bolos
bowling ball,bowling ball.jpg,bowling ball.mp3,bola de boliche
bowling pins,bowling pins.jpg,bowling pins.mp3,alféizar de bolos
box,box.jpg,box.mp3,caja
box,box.jpg,box.mp3,caja
boxer,boxer.jpg,boxer.mp3,Boxer
boxing gloves,boxing gloves.jpg,boxing gloves.mp3,guantes de boxeo
bread,bread.jpg,bread.mp3,pan
broccoli,broccoli.jpg,broccoli.mp3,brócoli
buck saw,buck saw.jpg,buck saw.mp3,sierra de bucle
bull,bull.jpg,bull.mp3,toro
bus,bus.jpg,bus.mp3,autobús
butterfly,butterfly.jpg,butterfly.mp3,mariposa
butternut squash,butternut squash.jpg,butternut squash.mp3,calabaza
cabbage,cabbage.jpg,cabbage.mp3,repollo
calculator,calculator.jpg,calculator.mp3,calculadora
calf(female),calf(female).jpg,calf(female).mp3,becerra
calf(male),calf(male).jpg,calf(male).mp3,becerro
camel,camel.jpg,camel.mp3,camello
can,can.jpg,can.mp3,poder
can opener,can opener.jpg,can opener.mp3,abrelatas
cantaloupe,cantaloupe.jpg,cantaloupe.mp3,Cantalupo
canteen,canteen.jpg,canteen.mp3,cantina
car,car.jpg,car.mp3,auto
caribou,caribou.jpg,caribou.mp3,caribú
carpool,carpool.jpg,carpool.mp3,Carpool
carrot juice,carrot juice.jpg,carrot juice.mp3,jugo de zanahoria
carrots,carrots.jpg,carrots.mp3,zanahorias
carton,carton.jpg,carton.mp3,caja de cartón
cat(female),cat(female).jpg,cat(female).mp3,gata
cat(male),cat(male).jpg,cat(male).mp3,gato
caterpillar,caterpillar.jpg,caterpillar.mp3,oruga
cattle,cattle.jpg,cattle.mp3,ganado
caulking gun,caulking gun.jpg,caulking gun.mp3,pistola de calafateo
celery,celery.jpg,celery.mp3,apio
centipede,centipede.jpg,centipede.mp3,ciempiés
chain,chain.jpg,chain.mp3,cadena
chainsaw,chainsaw.jpg,chainsaw.mp3,motosiería
chair,chair.jpg,chair.mp3,silla
champagne flute,champagne flute.jpg,champagne flute.mp3,Copa de champán
cheese,cheese.jpg,cheese.mp3,queso
cheeseburger,cheeseburger.jpg,cheeseburger.mp3,hamburguesa con queso
chest,chest.jpg,chest.mp3,pecho
chick(female),chick(female).jpg,chick(female).mp3,polluela
chick(male),chick(male).jpg,chick(male).mp3,polluelo
chicken,chicken.jpg,chicken.mp3,pollo
chickens,chickens.jpg,chickens.mp3,gallinas
chocolate,chocolate.jpg,chocolate.mp3,chocolate
cicada,cicada.jpg,cicada.mp3,cigarra
circular saw,circular saw.jpg,circular saw.mp3,Sierra circular
clamp,clamp.jpg,clamp.mp3,abrazadera
clarinet,clarinet.jpg,clarinet.mp3,clarinete
clipboard,clipboard.jpg,clipboard.mp3,portapapeles
cockroach,cockroach.jpg,cockroach.mp3,cucaracha
coconut,coconut.jpg,coconut.mp3,Coco
coffee,coffee.jpg,coffee.mp3,café
coffee beans,coffee beans.jpg,coffee beans.mp3,granos de café
coffee mug,coffee mug.jpg,coffee mug.mp3,taza de café
coffee table,coffee table.jpg,coffee table.mp3,mesa de centro
colander,colander.jpg,colander.mp3,colador
colt,colt.jpg,colt.mp3,potro
congas,congas.jpg,congas.mp3,Congas
convertible,convertible.jpg,convertible.mp3,convertible
cordless drill,cordless drill.jpg,cordless drill.mp3,taladro inalambrico
corkscrew,corkscrew.jpg,corkscrew.mp3,sacacorchos
corn,corn.jpg,corn.mp3,maíz
corn chips,corn chips.jpg,corn chips.mp3,frituras de maíz
corn on the cob,corn on the cob.jpg,corn on the cob.mp3,maíz en la mazorca
corndog,corndog.jpg,corndog.mp3,corndog
cow,cow.jpg,cow.mp3,vaca
crab,crab.jpg,crab.mp3,cangrejo
crate,crate.jpg,crate.mp3,caja
cricket,cricket.jpg,cricket.mp3,Grillo
crowbar,crowbar.jpg,crowbar.mp3,palanca
cruise ship,cruise ship.jpg,cruise ship.mp3,crucero
cutting board,cutting board.jpg,cutting board.mp3,tabla de cortar
cyclist,cyclist.jpg,cyclist.mp3,ciclista
deer(female),deer(female).jpg,deer(female).mp3,cierva
deer(male),deer(male).jpg,deer(male).mp3,ciervo
dishwasher,dishwasher.jpg,dishwasher.mp3,lavavajillas
do pushups,do pushups.jpg,do pushups.mp3,hacer flexiones
do sit-ups,do sit-ups.jpg,do sit-ups.mp3,hacer sentadillas
do yoga,do yoga.jpg,do yoga.mp3,hacer yoga
dog(female),dog(female).jpg,dog(female).mp3,perra
dog(male),dog(male).jpg,dog(male).mp3,perro
donkey(female),donkey(female).jpg,donkey(female).mp3,burra
donkey(male),donkey(male).jpg,donkey(male).mp3,burro
dragonfly,dragonfly.jpg,dragonfly.mp3,libélula
dress,dress.jpg,dress.mp3,vestido
dresser,dresser.jpg,dresser.mp3,vestidor
dried tomatoes,dried tomatoes.jpg,dried tomatoes.mp3,tomates secos
drill press,drill press.jpg,drill press.mp3,taladro de banco
drive,drive.jpg,drive.mp3,conducir
drum set,drum set.jpg,drum set.mp3,batería
dryer,dryer.jpg,dryer.mp3,secadora
duct tape,duct tape.jpg,duct tape.mp3,cinta adhesiva
dump truck,dump truck.jpg,dump truck.mp3,camión de la basura
egg beater,egg beater.jpg,egg beater.mp3,batidora de huevos
eggplant,eggplant.jpg,eggplant.mp3,berenjena
eggs,eggs.jpg,eggs.mp3,huevos
