chest,chest.jpg,chest.mp3,pecho
envelope,envelope.jpg,envelope.mp3,sobre
lion,lion.jpg,lion.mp3,león
coconut,coconut.jpg,coconut.mp3,Coco
fish,fish.jpg,fish.mp3,pez
goat(female),goat(female).jpg,goat(female).mp3,cabra
walk,walk.jpg,walk.mp3,caminar
water,water.jpg,water.mp3,agua
SUV,SUV.jpg,SUV.mp3,SUV
celery,celery.jpg,celery.mp3,apio
boat,boat.jpg,boat.mp3,bote
monkey(male),monkey(male).jpg,monkey(male).mp3,mono
caribou,caribou.jpg,caribou.mp3,caribú
bowl,bowl.jpg,bowl.mp3,bol
tea,tea.jpg,tea.mp3,té
bag,bag.jpg,bag.mp3,bolsa
bed,bed.jpg,bed.mp3,cama
garlic,garlic.jpg,garlic.mp3,ajo
bread,bread.jpg,bread.mp3,pan
lemur,lemur.jpg,lemur.mp3,lémur
tiger,tiger.jpg,tiger.mp3,tigre
cat(male),cat(male).jpg,cat(male).mp3,gato
monkey(female),monkey(female).jpg,monkey(female).mp3,mona
music stand,music stand.jpg,music stand.mp3,atril
zebra,zebra.jpg,zebra.mp3,cebra
beaver,beaver.jpg,beaver.mp3,castor
bear(male),bear(male).jpg,bear(male).mp3,oso
jug,jug.jpg,jug.mp3,jarra
donkey(female),donkey(female).jpg,donkey(female).mp3,burra
milk,milk.jpg,milk.mp3,leche
rooster,rooster.jpg,rooster.mp3,gallo
dog(female),dog(female).jpg,dog(female).mp3,perra
bull,bull.jpg,bull.mp3,toro
colt,colt.jpg,colt.mp3,potro
coffee,coffee.jpg,coffee.mp3,café
chicken,chicken.jpg,chicken.mp3,pollo
turkey(female),turkey(female).jpg,turkey(female).mp3,pava
blouse,blouse.jpg,blouse.mp3,blusa
tie,tie.jpg,tie.mp3,atar
tuba,tuba.jpg,tuba.mp3,tuba
ax,ax.jpg,ax.mp3,hacha
ferret,ferret.jpg,ferret.mp3,hurón
bear(female),bear(female).jpg,bear(female).mp3,osa
turkey(male),turkey(male).jpg,turkey(male).mp3,pavo
ski,ski.jpg,ski.mp3,esquí
pineapple,pineapple.jpg,pineapple.mp3,piña
donkey(male),donkey(male).jpg,donkey(male).mp3,burro
basket,basket.jpg,basket.mp3,cesta
cow,cow.jpg,cow.mp3,vaca
harp,harp.jpg,harp.mp3,arpa
dog(male),dog(male).jpg,dog(male).mp3,perro
cat(female),cat(female).jpg,cat(female).mp3,gata
gong,gong.jpg,gong.mp3,gong
can,can.jpg,can.mp3,poder
skirt,skirt.jpg,skirt.mp3,falda
train,train.jpg,train.mp3,tren
box,box.jpg,box.mp3,caja
goat(male),goat(male).jpg,goat(male).mp3,cabro
deer(male),deer(male).jpg,deer(male).mp3,ciervo
soda,soda.jpg,soda.mp3,soda
crate,crate.jpg,crate.mp3,caja
